MES,ANO,AIH_aprovadas,POP
1,2015,902,3442175
2,2015,853,3444910.25
3,2015,972,3447645.5
4,2015,841,3450380.75
5,2015,882,3453116
6,2015,901,3455851.25
7,2015,1076,3458586.5
8,2015,1154,3461321.75
9,2015,1039,3464057
10,2015,1029,3466792.25
11,2015,1061,3469527.5
12,2015,746,3472262.75
1,2016,1032,3474998
2,2016,781,3477665.083
3,2016,1030,3480332.167
4,2016,916,3482999.25
5,2016,826,3485666.333
6,2016,839,3488333.417
7,2016,854,3491000.5
8,2016,903,3493667.583
9,2016,798,3496334.667
10,2016,976,3499001.75
11,2016,889,3501668.833
12,2016,806,3504335.917
1,2017,883,3507003
2,2017,767,3504670.25
3,2017,835,3502337.5
4,2017,892,3500004.75
5,2017,880,3497672
6,2017,877,3495339.25
7,2017,1002,3493006.5
8,2017,1029,3490673.75
9,2017,1032,3488341
10,2017,1025,3486008.25
11,2017,953,3483675.5
12,2017,860,3481342.75
1,2018,1042,3479010
2,2018,955,3481330.25
3,2018,1059,3483650.5
4,2018,1090,3485970.75
5,2018,1066,3488291
6,2018,1017,3490611.25
7,2018,1164,3492931.5
8,2018,1063,3495251.75
9,2018,1021,3497572
10,2018,1047,3499892.25
11,2018,1012,3502212.5
12,2018,895,3504532.75
1,2019,1061,3506853
2,2019,1030,3509173.25
3,2019,1238,3511493.5
4,2019,1118,3513813.75
5,2019,1226,3516134
6,2019,1127,3518454.25
7,2019,1207,3520774.5
8,2019,1300,3523094.75
9,2019,1305,3525415
10,2019,1244,3527735.25
11,2019,1389,3530055.5
12,2019,1060,3532375.75
